,,DHAK_HAK,DHAK_HAJ,DHAK_HAH,DHAK_HAG,DHAK_HAE,DHAK_HAD,DHAK_HAB,DHAK_HAL,DHAK_HAM,DHAK_HAN,DHAK_HAO,DHAK_HAP,DHAK_HAT,DHAK_HA,DHAK_HAA,DHAK_HD,DHAK_HC,DHAK_HN,DHAK_HO,DHAK_HL,DHAK_HM,DHAK_HK,DHAK_HG,DHAK_HE,DHAK_HF,DHAK_HCU,DHAK_HCV,DHAK_HCQ,DHAK_HCR,DHAK_HCT,DHAK_HCM,DHAK_HCO,DHAK_HCP,DHAK_HB,DHAK_HU,DHAK_HT,DHAK_HQ,DHAK_HP,DHAK_HR,DHAK_HDE,DHAK_HDA,DHAK_HDD,DHAK_HDC,DHAK_HCW,DHAK_HCZ,DHAK_HCD,DHAK_HCB,DHAK_HCJ,DHAK_HCI,DHAK_HCK,DHAK_HBH,DHAK_HAZ,DHAK_HBE,DHAK_HBK,DHAK_HBI,DHAK_HBJ,DHAK_HBV
k232,PWY-6737: starch degradation V|unclassified,0.029286907,0.006905941,0.000966578,0.010291176,0.013347718,0.079652726,0.096370008,0.034646473,0.015077685,0.023713782,0.028676885,0.01706555,0.002646027,0.009213181,0.030396636,0.005033491,0.016791456,7.05E-10,0.005473349,0.017118096,0.012026081,0.014716754,0.009840632,0.010954283,0.058252767,0.002730333,0.006945355,0.007121032,0.042449884,0.002456795,0.020764954,0.009723989,0.01622047,0.020605662,0.045312098,0.014736149,0.018007654,0.018344829,0.003836814,0.010205943,0.024668259,0.001298647,0.029238906,0.013241997,0.012924908,0.005487928,0.005572949,0.042729831,0.009641387,0.022452795,0.005966221,0.000798079,7.05E-10,0.017380443,0.008948741,0.003681075,0.008041687
k233,PWY-6737: starch degradation V|g__Eubacterium.s__Eubacterium_rectale,0.038981657,0.001884794,0.120800969,0.00918165,4.08E-09,0.048184975,0.006412334,0.035920886,0.000607419,0.011682292,0.046994811,0.008324325,0.014381156,0.032307672,0.004341331,0.026853212,0.136782105,4.08E-09,0.008999264,0.004100384,4.08E-09,0.003458532,0.008302534,4.08E-09,0.003436708,4.08E-09,4.08E-09,0.003112372,0.007027324,4.08E-09,4.08E-09,4.08E-09,4.08E-09,0.046552358,4.08E-09,0.053431917,0.026065057,0.007929962,0.003298418,0.042638697,0.011551441,0.006222662,4.08E-09,0.109341729,0.019302267,0.012153584,0.004319851,0.007245369,0.026603624,0.00064975,4.08E-09,0.003797602,4.08E-09,0.031190851,4.08E-09,0.00562609,4.08E-09
k234,PWY-6737: starch degradation V|g__Faecalibacterium.s__Faecalibacterium_prausnitzii,0.015139768,0.028430217,0.02707401,0.003717384,0.010315212,0.020827444,0.006256873,0.003635523,0.015405686,0.025629143,0.004531732,0.016259257,0.000637059,0.002193979,0.001008502,0.011948753,0.062703355,0.000847696,0.001005759,0.003659829,3.08E-09,0.006079313,0.003401425,0.004537551,0.001788269,0.018957746,0.074623241,0.007383284,0.005995917,3.08E-09,0.013249204,0.064598135,0.005955677,0.07254558,0.00291701,0.009373751,0.006150861,0.003223587,0.003100408,0.021694582,0.005251231,0.031505894,0.109718247,0.009198842,0.006557816,0.01072621,0.001594762,0.004926975,0.012577508,0.024874064,0.02987218,0.003421132,0.004221968,0.013649527,0.054595677,0.008593861,0.08191138
k235,PWY-6737: starch degradation V|g__Butyrivibrio.s__Butyrivibrio_crossotus,0.260243489,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,0.187322809,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,0.508434436,5.78E-08,5.78E-08,5.78E-08,5.78E-08,0.019402653,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,0.012514512,5.78E-08,5.78E-08,5.78E-08,0.012079151,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08
k236,PWY-6737: starch degradation V|g__Roseburia.s__Roseburia_inulinivorans,0.031126621,0.078987217,1.31E-08,1.31E-08,0.006218104,0.027423108,0.008366593,0.017959051,1.31E-08,0.058320739,0.007430745,1.31E-08,0.002694047,1.31E-08,0.003422313,0.029118627,0.073548566,1.31E-08,0.005773609,0.039646356,1.31E-08,1.31E-08,0.007623792,0.010738773,0.013102767,1.31E-08,0.009182201,0.017947769,0.036084938,1.31E-08,0.019254808,0.002848316,0.014092269,0.011928562,0.011266805,0.021091269,0.011324314,1.31E-08,0.011352807,0.041200174,0.004051092,0.001542851,1.31E-08,0.015185534,0.024864703,0.024540003,0.003226591,0.035973486,1.31E-08,0.002723903,0.18328148,0.001946496,1.31E-08,0.023536229,1.31E-08,0.050052164,1.31E-08
k237,PWY-6737: starch degradation V|g__Dorea.s__Dorea_longicatena,0.027139417,0.005626447,0.014008314,4.70E-08,4.70E-08,4.70E-08,0.019627524,0.030677587,0.010582556,0.607627632,4.70E-08,0.011712601,4.70E-08,4.70E-08,4.70E-08,0.011356566,0.009888813,0.023862069,0.029256172,0.010695156,4.70E-08,0.013168323,4.70E-08,4.70E-08,4.70E-08,4.70E-08,4.70E-08,4.70E-08,0.021542482,4.70E-08,4.70E-08,4.70E-08,4.70E-08,0.032040071,0.010978443,0.020044371,4.70E-08,4.70E-08,4.70E-08,0.006293872,4.70E-08,4.70E-08,0.014492834,4.70E-08,0.053639887,4.70E-08,0.009750272,4.70E-08,4.70E-08,4.70E-08,0.005986994,4.70E-08,4.70E-08,4.70E-08,4.70E-08,4.70E-08,4.70E-08
k238,PWY-6737: starch degradation V|g__Catenibacterium.s__Catenibacterium_mitsuokai,0.009056973,0.003416312,2.73E-08,0.008142119,2.73E-08,2.73E-08,2.73E-08,0.026608505,0.00374426,2.73E-08,0.014861199,2.73E-08,0.006978256,0.00498646,2.73E-08,0.754231822,2.73E-08,2.73E-08,2.73E-08,0.024595224,2.73E-08,0.034483958,2.73E-08,2.73E-08,0.029986932,2.73E-08,2.73E-08,2.73E-08,0.002585262,2.73E-08,2.73E-08,2.73E-08,0.006533266,2.73E-08,2.73E-08,0.008997769,2.73E-08,0.005669417,0.005222841,2.73E-08,0.022475015,2.73E-08,2.73E-08,2.73E-08,2.73E-08,2.73E-08,2.73E-08,2.73E-08,0.018256846,2.73E-08,2.73E-08,2.73E-08,2.73E-08,0.002916381,2.73E-08,2.73E-08,0.0062502
k239,PWY-6737: starch degradation V|g__Collinsella.s__Collinsella_aerofaciens,0.006155579,0.015682442,0.005411009,0.008373129,2.80E-08,2.80E-08,2.80E-08,0.012323852,0.062930574,2.80E-08,0.099682477,2.80E-08,2.80E-08,0.009437895,2.80E-08,2.80E-08,2.80E-08,2.80E-08,2.80E-08,0.003608551,2.80E-08,2.80E-08,2.80E-08,0.008573097,0.007078029,0.016434449,2.80E-08,2.80E-08,2.80E-08,0.015913558,0.006195506,0.00411043,0.022526559,0.023446102,0.009309895,0.010666337,2.80E-08,2.80E-08,2.80E-08,0.076239003,2.80E-08,2.80E-08,0.244674912,0.013884122,0.004191737,0.016488132,2.80E-08,2.80E-08,0.054701495,0.14006267,2.80E-08,2.80E-08,2.80E-08,0.046331889,0.052759965,2.80E-08,0.002805824
k240,PWY-6737: starch degradation V|g__Ruminococcus.s__Ruminococcus_bromii,0.00335944,0.020551441,1.53E-08,0.013725183,0.007856325,0.003795256,0.048268322,1.53E-08,0.090539104,0.002466259,1.53E-08,1.53E-08,1.53E-08,1.53E-08,1.53E-08,1.53E-08,1.53E-08,1.53E-08,1.53E-08,1.53E-08,1.53E-08,1.53E-08,1.53E-08,1.53E-08,1.53E-08,1.53E-08,0.003416772,1.53E-08,1.53E-08,1.53E-08,1.53E-08,1.53E-08,1.53E-08,0.044127271,1.53E-08,0.013744558,1.53E-08,1.53E-08,1.53E-08,0.079216298,0.007752651,0.020645442,0.01578801,0.057430688,0.248682412,1.53E-08,1.53E-08,1.53E-08,0.032407584,0.001319784,1.53E-08,1.53E-08,1.53E-08,0.153878932,0.004589019,0.108427101,0.018011628
k241,PWY-6737: starch degradation V|g__Escherichia.s__Escherichia_coli,0.004815631,5.38E-08,5.38E-08,0.011292529,5.38E-08,5.38E-08,5.38E-08,0.010716035,0.030885801,5.38E-08,5.38E-08,5.38E-08,0.021479628,5.38E-08,0.015826692,0.057853744,0.004881264,0.009450718,0.052648511,0.009887984,0.166470611,5.38E-08,5.38E-08,5.38E-08,5.38E-08,0.143042114,5.38E-08,5.38E-08,0.004052782,5.38E-08,0.021874717,5.38E-08,0.022844686,5.38E-08,5.38E-08,5.38E-08,0.012033321,5.38E-08,5.38E-08,0.025579321,5.38E-08,0.050344256,5.38E-08,0.014082361,5.38E-08,0.038554314,5.38E-08,0.015519401,0.003274547,5.38E-08,0.026263948,0.129470184,0.020029246,0.006365645,0.004838118,0.065620384,5.38E-08
k242,COA-PWY-1: coenzyme A biosynthesis II (mammalian),0.018373396,0.015847073,0.019774275,0.009675115,0.023183978,0.024774761,0.028324495,0.015200453,0.017250919,0.034504673,0.027306494,0.018595415,0.00578616,0.013005577,0.016761295,0.020381129,0.027093511,0.012493431,0.009675975,0.015252034,0.014356235,0.00868888,0.010067138,0.020128923,0.021363356,0.01737106,0.025288156,0.015204788,0.015799157,0.041486386,0.020468289,0.021336109,0.010668874,0.025709658,0.022558194,0.015981654,0.021529405,0.014122179,0.017220604,0.020496921,0.011176521,0.010426069,0.021933449,0.014487351,0.011054469,0.014244217,0.010976422,0.01775278,0.012204983,0.023616951,0.020884321,0.009678698,0.019931116,0.008604413,0.018168565,0.008704354,0.013049199
k243,COA-PWY-1: coenzyme A biosynthesis II (mammalian)|unclassified,0.027763563,0.010779972,0.012144081,0.014229102,0.019857832,0.049677655,0.083174604,0.026550984,0.023785615,0.025206125,0.051771865,0.009618282,0.009763567,0.016624979,0.013327081,0.011436918,0.025246081,0.004020404,0.004968744,0.020518376,0.012757591,0.011392982,0.010185302,0.007974285,0.051725186,0.001582532,0.009672163,0.006832244,0.036119786,0.007822467,0.013064582,0.008413599,0.016684116,0.0212671,0.045711132,0.009012404,0.025342718,0.023968727,0.008803242,0.013323315,0.016185243,0.001304731,0.02142711,0.017317308,0.010427046,0.004017954,0.007953777,0.040248563,0.008883175,0.025038283,0.005068699,0.000149222,0.006055344,0.013921714,0.008321372,0.004125931,0.007433222
k244,COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Eubacterium.s__Eubacterium_rectale,0.04688433,0.001438052,0.106471867,0.011049039,6.67E-09,0.051777063,0.004239941,0.051901723,6.67E-09,0.007444755,0.04221205,0.003784674,0.014722119,0.027343385,0.005725782,0.034285431,0.14833827,6.67E-09,0.016836237,0.005688655,6.67E-09,0.003891037,0.004490928,6.67E-09,6.67E-09,6.67E-09,6.67E-09,6.67E-09,0.006489342,6.67E-09,6.67E-09,6.67E-09,6.67E-09,0.044914622,6.67E-09,0.057853163,0.021834199,0.011153134,6.67E-09,0.042657468,0.011902707,0.00515429,6.67E-09,0.105291836,0.01315455,0.01735388,0.002035554,0.010385797,0.028193716,6.67E-09,6.67E-09,0.002256007,6.67E-09,0.020353015,6.67E-09,0.01049124,6.67E-09
k245,COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Butyrivibrio.s__Butyrivibrio_crossotus,0.362501053,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,0.118280524,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,0.507679319,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,0.011535006,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08,7.73E-08
k246,COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii,0.016496051,0.025928827,0.0253998,0.004247179,0.012433911,0.0224016,0.004624682,0.00836029,0.016023721,0.017160782,0.00171319,0.016078471,4.45E-09,4.45E-09,4.45E-09,0.012517658,0.047901286,4.45E-09,0.005205551,0.002212099,4.45E-09,0.005924311,0.001500941,0.006941407,0.001678661,0.0142098,0.065587289,0.009649951,0.001731873,4.45E-09,0.016564886,0.062720294,0.004135324,0.074367881,0.003460126,0.008462587,0.003075136,0.005413976,0.005443685,0.024248378,0.00963543,0.029214798,0.111567849,0.011493413,0.008541523,0.007176047,4.45E-09,0.005402647,0.016513747,0.022334463,0.037440842,0.000654905,0.006482513,0.003158759,0.055662167,0.009297765,0.111601498
k247,COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Roseburia.s__Roseburia_inulinivorans,0.037653573,0.153407509,3.85E-08,3.85E-08,3.85E-08,0.018398707,3.85E-08,0.017318885,3.85E-08,0.097986184,3.85E-08,3.85E-08,3.85E-08,3.85E-08,3.85E-08,3.85E-08,0.084107331,3.85E-08,0.015040518,0.083049452,3.85E-08,3.85E-08,0.007129906,3.85E-08,3.85E-08,3.85E-08,3.85E-08,3.85E-08,0.020091545,3.85E-08,0.022984468,3.85E-08,0.015735916,3.85E-08,3.85E-08,3.85E-08,3.85E-08,3.85E-08,3.85E-08,0.073934213,3.85E-08,3.85E-08,3.85E-08,3.85E-08,0.020069294,3.85E-08,3.85E-08,0.029874157,3.85E-08,3.85E-08,0.184194183,3.85E-08,3.85E-08,0.027360731,3.85E-08,0.091661929,3.85E-08
k248,COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Escherichia.s__Escherichia_coli,0.005046451,1.16E-08,0.003520075,0.01098704,1.16E-08,0.002623958,1.16E-08,0.017325786,0.036740603,0.004675763,0.007078305,0.001444198,0.012104479,0.006413429,0.01863638,0.024944537,0.006096146,0.009930431,0.048045298,0.005097457,0.149154873,1.16E-08,0.005691958,0.003696816,0.008908066,0.078137087,1.16E-08,1.16E-08,0.018830419,1.16E-08,0.047253382,1.16E-08,0.023594367,0.003134581,1.16E-08,1.16E-08,0.022095508,0.005680342,0.007504981,0.029158215,1.16E-08,0.050425817,1.16E-08,0.019084101,1.16E-08,0.019280817,1.16E-08,0.016021757,0.00942423,1.16E-08,0.024787304,0.167316318,0.016139694,0.016329565,0.001683097,0.035956183,1.16E-08
k249,COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Dorea.s__Dorea_longicatena,0.045330545,1.05E-07,1.05E-07,1.05E-07,1.05E-07,0.032511972,1.05E-07,0.059497445,1.05E-07,0.728595785,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,0.027830703,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,0.052148349,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,0.054079941,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07
k250,COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Lactobacillus.s__Lactobacillus_ruminis,0.038254236,1.03E-07,0.108187124,1.03E-07,1.03E-07,1.03E-07,0.092952053,1.03E-07,0.020478174,0.248086149,0.063839229,0.168034861,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,0.017764363,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,0.042164859,1.03E-07,0.035765378,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,0.047733078,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,0.093852484,0.022883496,1.03E-07,1.03E-07,1.03E-07,1.03E-07
k251,COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_thetaiotaomicron,0.035316718,1.15E-07,1.15E-07,1.15E-07,0.246746695,1.15E-07,1.15E-07,1.15E-07,1.15E-07,0.078815109,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,0.056837631,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,0.044846746,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,0.066765031,1.15E-07,1.15E-07,1.15E-07,1.15E-07,0.264252598,1.15E-07,0.053436573,1.15E-07,0.152977394,1.15E-07,1.15E-07
k252,COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Klebsiella.s__Klebsiella_pneumoniae,0.005588879,1.85E-08,1.85E-08,1.85E-08,1.85E-08,0.006054431,1.85E-08,1.85E-08,0.004008235,1.85E-08,0.018581893,0.059506001,0.006623706,1.85E-08,0.075408536,1.85E-08,1.85E-08,0.004029321,1.85E-08,1.85E-08,0.138130263,0.004127745,0.078005849,1.85E-08,1.85E-08,0.077734144,1.85E-08,1.85E-08,1.85E-08,0.03934917,1.85E-08,1.85E-08,1.85E-08,1.85E-08,1.85E-08,1.85E-08,1.85E-08,1.85E-08,0.017516939,0.023635887,1.85E-08,0.011820815,1.85E-08,1.85E-08,1.85E-08,0.125442601,1.85E-08,1.85E-08,0.006257172,1.85E-08,0.031921319,0.01782055,0.100954544,1.85E-08,1.85E-08,0.147481353,1.85E-08
k253,TRNA-CHARGING-PWY: tRNA charging,0.023304903,0.010326027,0.01143832,0.016572312,0.023548829,0.034461706,0.042137106,0.019736685,0.020216566,0.027148161,0.031254166,0.023487462,0.00784883,0.021662899,0.017926531,0.011895133,0.021485647,0.01009627,0.017482093,0.015288895,0.014991013,0.016623484,0.009084773,0.018094231,0.040801155,0.014636795,0.020850775,0.010346929,0.01620854,0.019955687,0.012886734,0.018239903,0.013000915,0.029930407,0.021760583,0.012489842,0.028997505,0.019213987,0.012262103,0.013644052,0.023744783,0.004403603,0.023133536,0.017380475,0.012380087,0.005895212,0.012169883,0.016013461,0.013886144,0.030350217,0.00937965,0.002958007,0.016988336,0.011239294,0.013409628,0.005011723,0.010318009
k254,TRNA-CHARGING-PWY: tRNA charging|unclassified,0.027618199,0.00736842,0.009807036,0.02053415,0.019598603,0.042272023,0.074663071,0.027791518,0.020949466,0.019479978,0.038373918,0.026181233,0.010030689,0.025810758,0.01821224,0.004664144,0.021693218,0.007998029,0.02025887,0.011318693,0.00149895,0.022081852,0.007725479,0.014806304,0.05952729,0.002754551,0.017663693,0.007204531,0.021196253,0.00969432,0.012034251,0.014818485,0.014240562,0.036565347,0.024494217,0.009243401,0.034767613,0.022708177,0.006851403,0.008640328,0.02777924,0.000896499,0.020239891,0.016159754,0.009520426,0.002849708,0.006604404,0.021549543,0.015107031,0.031160064,0.004209267,0.000953689,0.010711318,0.01004193,0.007751116,0.002229665,0.009095192
k255,PANTO-PWY: phosphopantothenate biosynthesis I,0.018655356,0.013934137,0.021144126,0.011063071,0.02738282,0.025180733,0.029695048,0.015906679,0.012336003,0.03288735,0.027912829,0.020603127,0.006682671,0.014134123,0.017837413,0.021591902,0.027178357,0.013290681,0.010454312,0.013257794,0.016794264,0.012646642,0.012504328,0.022050754,0.02369919,0.020787731,0.024171807,0.01533991,0.011700262,0.056745614,0.020971802,0.021097087,0.010648686,0.030016776,0.024729646,0.016901596,0.023353904,0.015396075,0.018604728,0.017002358,0.010277664,0.009876425,0.020479582,0.012022128,0.008023241,0.01313818,0.011599394,0.012660489,0.010955531,0.025411439,0.014816833,0.007749507,0.013793641,0.005380084,0.014384716,0.006353797,0.006785658
k256,PANTO-PWY: phosphopantothenate biosynthesis I|unclassified,0.028013532,0.011938918,0.012060227,0.020919161,0.028080498,0.049742501,0.085346834,0.027072318,0.004684875,0.033602707,0.054286045,0.019881317,0.011548566,0.017595876,0.021756526,0.0059221,0.026790054,0.005923699,0.006826123,0.00876257,0.006525058,0.014012849,0.011935403,0.00760139,0.058385193,0.005251521,0.011666194,0.008977655,0.013162372,0.03762849,0.018525344,0.011684388,0.007273189,0.02356006,0.047729014,0.008599444,0.026740909,0.027488437,0.003343043,0.012873127,0.010248324,0.001733542,0.024188658,0.015380172,0.001122446,0.001884709,0.005308999,0.012853253,0.00840972,0.031629979,0.004265487,0.000145537,0.018669981,0.009583359,0.006284828,0.00036852,0.004204965
k257,PANTO-PWY: phosphopantothenate biosynthesis I|g__Butyrivibrio.s__Butyrivibrio_crossotus,0.278824165,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,0.130579712,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,0.57495205,3.93E-08,3.93E-08,3.93E-08,3.93E-08,0.010635867,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,0.00500616,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08
k258,PANTO-PWY: phosphopantothenate biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae,0.0380232,6.25E-08,6.25E-08,6.25E-08,6.25E-08,6.25E-08,6.25E-08,0.047001988,0.023601443,6.25E-08,0.034276114,6.25E-08,6.25E-08,6.25E-08,0.117177137,6.25E-08,6.25E-08,0.024207383,6.25E-08,6.25E-08,0.033542739,6.25E-08,0.031933186,6.25E-08,6.25E-08,6.25E-08,6.25E-08,6.25E-08,6.25E-08,6.25E-08,6.25E-08,6.25E-08,6.25E-08,6.25E-08,6.25E-08,6.25E-08,6.25E-08,6.25E-08,6.25E-08,0.066698675,6.25E-08,6.25E-08,6.25E-08,6.25E-08,6.25E-08,0.089512145,6.25E-08,6.25E-08,6.25E-08,6.25E-08,0.025273713,0.012169283,0.183373319,0.026976343,0.015991955,0.219921897,0.010316979
k259,PANTO-PWY: phosphopantothenate biosynthesis I|g__Escherichia.s__Escherichia_coli,0.006411238,1.21E-08,0.002511136,0.012548583,0.002765404,1.21E-08,1.21E-08,0.012983789,0.039140005,0.004341439,0.005443454,0.006896433,0.02599425,0.002041099,0.005719736,0.037685239,0.002371281,0.007919397,0.040232316,0.005421705,0.106880764,0.001477576,0.003069469,1.21E-08,0.012569173,0.090896999,1.21E-08,1.21E-08,0.014767868,1.21E-08,0.030697299,0.003489227,0.020771586,1.21E-08,1.21E-08,0.003601323,0.021173868,0.0030063,0.002878321,0.03467189,1.21E-08,0.059525409,1.21E-08,0.013572005,1.21E-08,0.015536008,1.21E-08,0.021396202,0.014710927,1.21E-08,0.019568699,0.218412898,0.014221314,0.008962008,0.003852309,0.039863875,1.21E-08
k260,PANTO-PWY: phosphopantothenate biosynthesis I|g__Eubacterium.s__Eubacterium_rectale,0.004174108,0.007350393,0.218499633,0.015079622,1.30E-08,0.075940074,0.008338357,0.097259235,1.30E-08,1.30E-08,0.006516578,0.01763635,0.019045075,0.006675345,1.30E-08,0.067596061,1.30E-08,1.30E-08,1.30E-08,1.30E-08,1.30E-08,1.30E-08,0.006653268,1.30E-08,1.30E-08,1.30E-08,1.30E-08,0.01140405,0.01215267,0.003206326,1.30E-08,1.30E-08,1.30E-08,0.122629277,1.30E-08,0.107099554,0.039627238,1.30E-08,1.30E-08,1.30E-08,0.019659417,0.013815812,1.30E-08,1.30E-08,0.047958721,0.031996668,0.009812742,0.010915009,0.009595968,0.002828942,1.30E-08,0.006533129,1.30E-08,1.30E-08,1.30E-08,1.30E-08,1.30E-08
k261,PANTO-PWY: phosphopantothenate biosynthesis I|g__Klebsiella.s__Klebsiella_pneumoniae,0.005921626,2.12E-08,2.12E-08,2.12E-08,2.12E-08,0.006128866,0.006187914,0.006480277,2.12E-08,2.12E-08,0.010231638,0.017670993,0.020502599,2.12E-08,0.063816856,2.12E-08,2.12E-08,0.007061616,0.006748005,2.12E-08,0.142666075,0.00426599,0.08465004,2.12E-08,2.12E-08,0.087487783,2.12E-08,0.007108516,2.12E-08,0.051354042,0.002749996,2.12E-08,2.12E-08,2.12E-08,2.12E-08,0.004979902,2.12E-08,2.12E-08,0.034287373,0.022674091,0.003763509,0.011116472,2.12E-08,2.12E-08,2.12E-08,0.097198823,2.12E-08,2.12E-08,0.003320711,2.12E-08,0.02627726,0.024611804,0.076182568,2.12E-08,2.12E-08,0.164554042,2.12E-08
k262,PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens,0.002883308,0.002379281,2.19E-08,0.012279302,2.19E-08,2.19E-08,2.19E-08,2.19E-08,0.017406855,0.239656622,0.136318047,2.19E-08,2.19E-08,2.19E-08,2.19E-08,0.007678428,2.19E-08,2.19E-08,2.19E-08,0.026515589,2.19E-08,2.19E-08,2.19E-08,2.19E-08,2.19E-08,2.19E-08,2.19E-08,0.008609168,2.19E-08,2.19E-08,2.19E-08,2.19E-08,2.19E-08,2.19E-08,0.00615629,0.004461901,0.004532043,2.19E-08,2.19E-08,0.041992877,2.19E-08,2.19E-08,2.19E-08,2.19E-08,2.19E-08,0.056514019,2.19E-08,2.19E-08,2.19E-08,2.19E-08,0.159950722,2.19E-08,0.033745221,0.002523064,0.010783358,0.002713725,0.222899369
k263,PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II,0.019449256,0.012404265,0.015850632,0.013590887,0.01623812,0.034116994,0.035948526,0.01467426,0.019144091,0.030358746,0.022564874,0.021582204,0.00636435,0.017785235,0.014532045,0.014869255,0.027001805,0.007867021,0.011905789,0.015470382,0.017278511,0.013018964,0.011343004,0.017438053,0.027430189,0.018306082,0.021624686,0.013320498,0.023630131,0.042783219,0.015402636,0.017667261,0.010004322,0.024763097,0.026683734,0.013556981,0.015926695,0.017122753,0.011245556,0.019556063,0.014995024,0.006354919,0.024044996,0.01396494,0.014974847,0.009366556,0.009889597,0.024911763,0.012509208,0.026123222,0.017389357,0.006711241,0.023498061,0.011494592,0.01404488,0.007438862,0.012466763
